,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
17973,17974,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Stack Overflow;How-to videos;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (paid),24,22,"Developer, full-stack","10,000 or more employees",I have little or no influence,Start a free trial;Ask developers I know/work with;Other (please specify):,Out-of-the-box is ready to go with little need for customization,APIs;Integrated developer community;Reputation for quality and excellence,Australia,AUD	Australian dollar,225000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;Kotlin;PowerShell;TypeScript,C#;PowerShell;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,Cosmos DB;Microsoft SQL Server;PostgreSQL;Snowflake,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;Express,ASP.NET CORE;Next.js;React,ASP.NET CORE,,,,.NET (5+) ,.NET (5+) ,.NET (5+) ,Docker;NuGet,Docker;NuGet,Docker;NuGet,Rider;Visual Studio Code,Rider;Visual Studio Code,Rider;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),MacOS,Confluence;Jira;Markdown File,Confluence;Jira;Markdown File,Confluence;Jira;Markdown File,Microsoft Teams;Slack;Zoom,Slack;Zoom,Slack;Zoom,ChatGPT;GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Favorable,Speed up learning;Improve accuracy in coding,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Documenting code;Testing code;Search for answers,Learning about a codebase;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Generating content or synthetic data,Project planning;Predictive analytics,Writing code,,Documenting code;Testing code;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Other (please specify):",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,148648.0,
3841,3842,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Written Tutorials;How-to videos;Video-based Online Courses,API document(s) and/or SDK document(s);Traditional public search engine,6,2,"Developer, full-stack",100 to 499 employees,I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Connected to an open source project,Hong Kong (S.A.R.),HKD	Hong Kong dollar,990000.0,C#;JavaScript;PowerShell;SQL;TypeScript,C#;PowerShell;SQL;TypeScript,C#;PowerShell;SQL;TypeScript,Clickhouse;Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL,Clickhouse;Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL,Clickhouse;Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL,,,,Node.js;React,React,React,Arduino;Rasberry Pi,Rasberry Pi,Rasberry Pi,.NET (5+) ;.NET Framework (1.0 - 4.8);React Native,.NET (5+) ,.NET (5+) ,Docker;npm;NuGet;Yarn,Docker;npm;NuGet;Yarn,Docker;npm;NuGet;Yarn,Rider;Visual Studio Code,Rider;Visual Studio Code,Rider;Visual Studio Code,Android;MacOS,Windows;Windows Subsystem for Linux (WSL),Confluence;Jira,Confluence;Jira,Confluence;Jira,Microsoft Teams,Microsoft Teams,Microsoft Teams,Bing AI;GitHub Copilot,Bing AI;GitHub Copilot,Bing AI;GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable,Somewhat trust,"Good, but not great at handling complex tasks",Project planning;Writing code;Documenting code;Debugging and getting help;Search for answers,Learning about a codebase;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,Writing code;Debugging and getting help,,Project planning;Documenting code;Search for answers,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,126714.0,
13382,13383,I am a developer by profession,55-64 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community)","Blogs;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges)",,40,40,"Developer, full-stack",10 to 19 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is set up to be customized and needs to be engineered into a usable product,Reputation for quality and excellence;Connected to an open source project,United States of America,USD	United States dollar,140000.0,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Swift,C++;HTML/CSS;JavaScript;Python;Swift,C++;HTML/CSS;JavaScript;Python;Swift,MariaDB;MongoDB;PostgreSQL,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS),Amazon Web Services (AWS),React,React,React,GNU GCC;Ninja;Rasberry Pi,GNU GCC;Ninja;Rasberry Pi,GNU GCC;Ninja;Rasberry Pi,SwiftUI;TensorFlow,DirectX;OpenCL;OpenGL;Qt;React Native;SwiftUI;TensorFlow,SwiftUI;TensorFlow,Make;Ninja;npm;Pip;Vite,Make;Ninja;npm;Unity 3D;Unreal Engine;Vite,Make;Ninja;npm;Vite,Emacs;Qt Creator;Visual Studio Code;Xcode,Emacs;Visual Studio Code;Xcode,Emacs;Visual Studio Code;Xcode,Android;iOS;Ubuntu;Windows,Ubuntu,Confluence;Doxygen;Jira,,,Google Chat;IRC;Microsoft Teams;Rocketchat;Telegram;Zoom,IRC;Rocketchat;Telegram,IRC;Rocketchat;Telegram,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,ChatGPT;GitHub Copilot,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat distrust,Neither good or bad at handling complex tasks,Writing code,Documenting code;Debugging and getting help;Testing code,,,,Writing code,,,No,Other (please specify):,"Don’t trust the output or answers;They create more work (more code/PRs to review, etc.)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,140000.0,
47319,47320,I am a developer by profession,25-34 years old,"Employed, part-time",In-person,Apples,Hobby;School or academic work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","School (i.e., University, College, etc)",,,10,6,"Developer, desktop or enterprise applications",100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Out-of-the-box is ready to go with little need for customization,APIs;Customization;Reputation for quality and excellence;Frequent updates to features,Italy,EUR European Euro,,Bash/Shell (all shells);C#;C++;Java;JavaScript;MATLAB;OCaml;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Python;Rust;SQL;Swift;TypeScript,Bash/Shell (all shells);C#;Python;SQL;TypeScript,SQLite,Redis;SQLite,SQLite,,,,Angular;Flask;Node.js,React,,Rasberry Pi,Rasberry Pi,Rasberry Pi,.NET Framework (1.0 - 4.8);CUDA;NumPy,JAX;NumPy;Opencv;Torch/PyTorch,NumPy,Chocolatey;Make;Maven (build tool);npm;NuGet,Chocolatey,Chocolatey,Android Studio;IntelliJ IDEA;Visual Studio;Visual Studio Code,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Android;Windows;Windows Subsystem for Linux (WSL),Windows,Trello,,,Discord;Slack,,,,,,Stack Overflow;Stack Exchange,A few times per week,No,,Finding reliable guidance from community-vetted answers,"No, not really","No, and I don't plan to",,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,,
60928,60929,I am a developer by profession,18-24 years old,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;School or academic work;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;How-to videos;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository,4,1,"Developer, back-end",100 to 499 employees,I have a great deal of influence,Start a free trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26940,26941,I am a developer by profession,18-24 years old,"Student, full-time;Employed, part-time",Remote,Apples,Hobby;School or academic work;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;AI;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine;AI-powered search/dev tool (free),3,2,Data engineer,100 to 499 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Ask a generative AI tool,Out-of-the-box is ready to go with little need for customization,,United States of America,USD	United States dollar,,C++;Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript;VBA,Bash/Shell (all shells);C++;Elixir;Go;Haskell;JavaScript;Julia;MATLAB;Python;Rust;SQL;TypeScript;Zig,C++;JavaScript;Python;SQL;TypeScript,Cloud Firestore;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Snowflake;Supabase,PostgreSQL;Redis;Snowflake;Supabase,PostgreSQL;Snowflake;Supabase,Amazon Web Services (AWS);Firebase;Microsoft Azure;Supabase;Vercel,Amazon Web Services (AWS);Cloudflare;Databricks;Supabase;Vercel,Amazon Web Services (AWS);Supabase;Vercel,Angular;Express;Flask;Next.js;Node.js;React;Remix,Deno;Flask;Next.js;Node.js;React;Svelte,Flask;Next.js;Node.js;React,CMake;LLVM's Clang,Arduino;CMake;Rasberry Pi,CMake,Flutter;NumPy;Pandas;Scikit-Learn,Flutter;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Flutter;NumPy;Pandas;Scikit-Learn,npm;Pip;Vite,Bun;Docker;npm;Pip;Vite,npm;Pip;Vite,Android Studio;CLion;DataGrip;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,CLion;DataGrip;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,CLion;DataGrip;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Windows,Windows,GitHub Discussions;Jira;Trello,Linear;Notion,,Slack,Slack,Slack,ChatGPT;Claude;Perplexity AI;Phind;WolframAlpha,ChatGPT;Claude;Perplexity AI;Phind;WolframAlpha,ChatGPT;Claude;Perplexity AI;Phind;WolframAlpha,Stack Overflow,A few times per week,Not sure/can't remember,,Quickly finding code solutions,"No, not really",Yes,Favorable,Speed up learning;Improve accuracy in coding,Somewhat distrust,Bad at handling complex tasks,Debugging and getting help;Search for answers;Generating content or synthetic data,Project planning;Documenting code;Testing code;Predictive analytics,Learning about a codebase;Writing code;Committing and reviewing code;Deployment and monitoring,,Debugging and getting help;Search for answers;Generating content or synthetic data,,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
9489,9490,I am a developer by profession,35-44 years old,"Employed, full-time",In-person,Apples,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (paid),27,22,DevOps specialist,500 to 999 employees,I have some influence,Start a free trial;Ask developers I know/work with;Ask a generative AI tool;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,France,EUR European Euro,,Bash/Shell (all shells);Java;JavaScript;SQL,Java;SQL,Java;SQL,PostgreSQL,PostgreSQL,PostgreSQL,Amazon Web Services (AWS),,,,,,,,,,,,Ansible;Ant;Docker;Kubernetes;Maven (build tool);Terraform,Ansible;Docker;Kubernetes;Maven (build tool),Ansible;Docker;Kubernetes;Maven (build tool),Eclipse;Notepad++;Visual Studio Code;VSCodium,Eclipse;Notepad++;VSCodium,Eclipse;Notepad++;VSCodium,Windows,Ubuntu;Windows Subsystem for Linux (WSL),Confluence;Jira;Trello,Confluence;Jira,Confluence;Jira,Microsoft Teams;Zoom,Microsoft Teams,Microsoft Teams,GitHub Copilot,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions,Neutral,Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Neither trust nor distrust,Very poor at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Search for answers;Generating content or synthetic data,Testing code;Committing and reviewing code,,Documenting code,Generating content or synthetic data,Writing code;Debugging and getting help;Search for answers,,,Yes,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Energy demand,Don’t trust the output or answers;Not everyone uses them,Yes,Individual contributor,22.0,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,30-60 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,0.0,0.0,0.0,0.0,33.0,33.0,34.0,0.0,0.0,Too long,Neither easy nor difficult,,8.0
62542,62543,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Books;Stack Overflow;Video-based Online Courses;Certification videos,,5,1,"Developer, back-end",2 to 9 employees,I have some influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have advertised on sites I visit,Is set up to be customized and needs to be engineered into a usable product,APIs;Customization;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15973,15974,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Friend or family member","Written Tutorials;Social Media;Written-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges)",,7,4,"Developer, back-end",500 to 999 employees,I have little or no influence,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Integrated developer community;Quality support system;Reputation for quality and excellence;Frequent updates to features,India,INR	Indian rupee,1700000.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,Go;Java;JavaScript;SQL,Java;JavaScript;SQL,H2;PostgreSQL;Redis,Redis,Redis,Amazon Web Services (AWS),Microsoft Azure,,Angular;Spring Boot,Angular;React,Angular,,,,Quarkus,Apache Kafka;Flutter;Quarkus;SwiftUI,Quarkus,Ansible;Docker;Homebrew;Kubernetes;Maven (build tool);npm;Pacman;Yarn,Ansible;Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pacman;Terraform,Ansible;Docker;Homebrew;Kubernetes;Maven (build tool);npm;Pacman,IntelliJ IDEA;Neovim;Vim,IntelliJ IDEA;Neovim;Sublime Text;Vim;Xcode,IntelliJ IDEA;Neovim;Vim,iOS;iPadOS;MacOS;Other Linux-based,MacOS,Confluence;Jira;Markdown File;Miro;Obsidian,Confluence;Jira;Markdown File;Miro;Obsidian,Confluence;Jira;Markdown File;Miro;Obsidian,Google Meet;Microsoft Teams;Slack,Google Meet;Slack,Google Meet;Slack,Amazon Q;Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Perplexity AI;Tabnine,Claude;Perplexity AI;Tabnine,Claude;Perplexity AI;Tabnine,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, somewhat","No, but I plan to soon",Favorable,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",Yes,Individual contributor,4.0,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Never,1-2 times a week,10+ times a week,15-30 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Patching/updating core components,Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Fintech,4.0,5.0,7.0,9.0,10.0,10.0,8.0,8.0,8.0,Appropriate in length,Neither easy nor difficult,20338.0,8.0
49084,49085,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,Some college/university study without earning a degree,"Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Written-based Online Courses;Certification videos;Programming Games,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,10,8,"Developer, full-stack",20 to 99 employees,I have some influence,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Customization;Frequent updates to features,Switzerland,CHF	Swiss franc,67200.0,Bash/Shell (all shells);C#;Erlang;HTML/CSS;Java;JavaScript;Lua;PHP;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Cosmos DB;Elasticsearch;InfluxDB;MariaDB;MySQL;Neo4J;PostgreSQL;Redis;SQLite,Clickhouse;Cockroachdb;Elasticsearch;InfluxDB;MariaDB;MongoDB;MySQL;Neo4J;PostgreSQL;Redis;Solr;SQLite;Supabase,Elasticsearch;InfluxDB;MariaDB;MySQL;Neo4J;PostgreSQL;Redis;SQLite,Cloudflare;Digital Ocean;Managed Hosting;Microsoft Azure;OVH;VMware,Amazon Web Services (AWS);Cloudflare;Hetzner;Managed Hosting;Microsoft Azure;Supabase,Cloudflare;Managed Hosting;Microsoft Azure,Angular;Django;Express;Flask;jQuery;Laravel;Node.js;Nuxt.js;React;Symfony;Vue.js,Angular;Deno;Django;Flask;Laravel;Nuxt.js;Strapi;Svelte;Symfony;Vue.js,Angular;Django;Flask;Laravel;Nuxt.js;Symfony;Vue.js,CMake;Rasberry Pi,CMake;Rasberry Pi,CMake;Rasberry Pi,RabbitMQ,.NET (5+) ;.NET MAUI;Flutter;Ionic;RabbitMQ,RabbitMQ,Ansible;Chocolatey;Composer;Docker;Kubernetes;Make;npm;NuGet;Pacman;Pip;Terraform;Vite;Webpack;Yarn,Ansible;Bun;Chef;Composer;Docker;Kubernetes;Make;Nix;npm;Pacman;Pip;pnpm;Terraform;Vite,Ansible;Composer;Docker;Kubernetes;Make;npm;Pacman;Pip;Terraform;Vite,Eclipse;Nano;Netbeans;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code;VSCodium,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PhpStorm;Vim;Visual Studio Code,Notepad++;Vim;Visual Studio Code,Android;Arch;BSD;Debian;Other Linux-based;Ubuntu;Windows;Windows Subsystem for Linux (WSL),Arch;Debian;Windows;Windows Subsystem for Linux (WSL),Asana;GitHub Discussions;Markdown File;Trello;Wikis,Confluence;GitHub Discussions;Jira;Markdown File;Notion;Trello;Wikis,GitHub Discussions;Markdown File;Trello;Wikis,Cisco Webex Teams;Discord;Microsoft Teams;Rocketchat;Skype;Slack;Telegram;Whatsapp;Zoom,Cisco Webex Teams;Discord;Mattermost;Microsoft Teams;Slack;Telegram;Whatsapp,Cisco Webex Teams;Discord;Microsoft Teams;Slack;Telegram;Whatsapp,ChatGPT;GitHub Copilot,ChatGPT;Claude;Google Gemini,ChatGPT,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really","No, but I plan to soon",Indifferent,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them;They create more work (more code/PRs to review, etc.)",Yes,Individual contributor,8.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,1-2 times a week,3-5 times a week,Never,60-120 minutes a day,60-120 minutes a day,Amount of technical debt;Complexity of tech stack for build;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,5.0,0.0,20.0,20.0,20.0,20.0,0.0,5.0,10.0,Appropriate in length,Neither easy nor difficult,,6.0
